Accidente colective de munca pe activitati economice CAEN Rev.1,ACC101A
"Cifra de afaceri din unitatile locale active, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2, clase de marime dupa numarul de persoane ocupate, macroregiuni, regiuni de dezvoltare si judete, preturi curente",INT104D
"Cifra de afaceri din unitatile locale active, pe sectoare de activitate CAEN Rev.2, clase de marime ale intreprinderilor - intreprinderi cu activitate principala de industrie, constructii, comert si servicii de piata - dupa numarul de persoane ocupate si forme de proprietate, preturi curente",INT104E
"Investitii brute in bunuri corporale din unitatile locale active, pe sectoare de activitate CAEN Rev.1, clase de marime ale intreprinderilor - intreprinderi cu activitate principala de industrie, constructii, comert si servicii de piata - dupa numarul de salariati si forme de proprietate, preturi curente",INT105A
"Investitii brute in bunuri corporale din unitatile locale active, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1, clase de marime dupa numarul de salariati, macroregiuni, regiuni de dezvoltare si judete",INT105B
"Investitii nete din unitatile locale active, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1, clase de marime dupa numarul de salariati, macroregiuni, regiuni de dezvoltare si judete",INT105C
"Investitii brute in bunuri corporale din unitatile locale active, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2, clase de marime dupa numarul de persoane ocupate, macroregiuni, regiuni de dezvoltare si judete",INT105D
"Investitii nete din unitatile locale active, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2, clase de marime dupa numarul de persoane ocupate, macroregiuni, regiuni de dezvoltare si judete",INT105E
"Investitii brute in bunuri corporale din unitatile locale active, pe sectoare de activitate CAEN Rev.2, clase de marime ale intreprinderilor - intreprinderi cu activitate principala de industrie, constructii, comert si servicii de piata - dupa numarul de persoane ocupate si forme de proprietate, preturi curente",INT105F
"Exporturi, pe sectoare de activitate CAEN Rev.1, clase de marime ale intreprinderilor - intreprinderi cu activitate principala de industrie, constructii, comert si servicii de piata - dupa numarul de salariati si forme de proprietate, preturi curente",INT106A
"Exporturi, pe sectoare de activitate CAEN Rev.2, clase de marime ale intreprinderilor - intreprinderi cu activitate principala de industrie, constructii, comert si servicii de piata - dupa numarul de persoane ocupate si forme de proprietate, preturi curente",INT106B
"Valoarea adaugata bruta la costul factorilor, pe sectoare de activitate CAEN Rev.1, clase de marime ale intreprinderilor - intreprinderi cu activitate principala de industrie, constructii, comert si servicii de piata - dupa numarul de salariati si forme de proprietate, preturi curente",INT107A
"Valoarea adaugata bruta la costul factorilor, pe sectoare de activitate CAEN Rev.2, clase de marime ale intreprinderilor - intreprinderi cu activitate principala de industrie, constructii, comert si servicii de piata - dupa numarul de persoane ocupate si forme de proprietate, preturi curente",INT107B
"Rezultatul brut al exercitiului, pe sectoare de activitate CAEN Rev.1, clase de marime ale intreprinderilor - intreprinderi cu activitate principala de industrie, constructii, comert si servicii de piata - dupa numarul de salariati si forme de proprietate, preturi curente",INT108A
"Rezultatul brut al exercitiului, pe sectoare de activitate CAEN Rev.2, clase de marime ale intreprinderilor - intreprinderi cu activitate principala de industrie, constructii, comert si servicii de piata - dupa numarul de persoane ocupate si forme de proprietate, preturi curente",INT108B
"Principalii indicatori economici si financiari ai intreprinderilor cu activitate principala de industrie, constructii, comert si servicii de piata CAEN Rev.1 si clase de marime",INT109A
"Principalii indicatori economici si financiari ai intreprinderilor cu activitate principala de industrie, constructii, comert si servicii de piata CAEN Rev.1 si forme de proprietate",INT109B
"Principalii indicatori economici si financiari ai intreprinderilor cu activitate principala de industrie, constructii, comert si servicii de piata CAEN Rev.2 si clase de marime",INT109C
"Principalii indicatori economici si financiari consolidati, ai intreprinderilor cu activitate principala de industrie, constructii, comert si servicii de piata CAEN Rev.2",INT109E
"Intreprinderi active, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2 si pe forme juridice",INT110A
"Intreprinderi active, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2 si pe clase de marime",INT110B
"Intreprinderi nou create, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2 si pe forme juridice",INT111A
"Intreprinderi nou create, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2 si pe clase de marime",INT111B
"Intreprinderi active nou create, rata de creare a acestora, pe regiuni de dezvoltare si evidenta PIB pe locuitor",INT111C
"Distributia intreprinderilor active nou create, dupa tipul unitatii, pe regiuni de dezvoltare",INT111D
"Numarul mediu de angajati ai intreprinderilor active nou create, dupa tipul unitatii, pe regiuni de dezvoltare",INT111E
"Distributia intreprinderilor active nou create, dupa metoda de creare, pe regiuni de dezvoltare",INT111F
"Distributia intreprinderilor active nou create, dupa clasa de marime a intreprinderii, pe regiuni de dezvoltare",INT111G
"Ponderea numarului de angajati, dupa clasa de marime a intreprinderii, pe regiuni de dezvoltare",INT111H
"Ponderea numarului de angajati, dupa tipul de angajare, pe regiuni de dezvoltare",INT111I
"Distributia intreprinderilor active nou create, dupa numarul sediilor, pe regiuni de dezvoltare",INT111J
"Distributia intreprinderilor active nou create, dupa locul principal in care se desfasoara activitatea, pe regiuni de dezvoltare",INT111K
"Distributia intreprinderilor active nou create, pe medii de rezidenta si regiuni de dezvoltare",INT111L
"Distributia intreprinderilor active nou create, pe tipuri de regiune",INT111M
"Distributia intreprinderilor active nou create, pe sectoare de activitate si regiuni de dezvoltare",INT111N
"Distributia intreprinderilor active nou create, dupa numarul de activitati, pe regiuni de dezvoltare",INT111O
"Ponderea fortei de munca din intreprinderi active nou create cu capital strain, pe regiuni de dezvoltare",INT111P
"Distributia intreprinderilor active nou create, pe nivele de dificultate in obtinerea contractelor si regiuni de dezvoltare",INT111Q
"Distributia intreprinderilor active nou create cu dificultati legate de oferta, dupa tipul de dificultate si regiuni de dezvoltare",INT111R
"Distributia intreprinderilor active nou create cu dificultati legate de cerere, dupa tipul de dificultate si regiuni de dezvoltare",INT111S
"Distributia intreprinderilor active nou create, dupa varsta in ani a fondatorului/managerului, pe regiuni de dezvoltare",INT111T
"Distributia intreprinderilor active nou create, dupa sexul fondatorului/managerului, pe regiuni de dezvoltare",INT111U
"Distributia intreprinderilor active nou create, dupa nivelul de instruire a fondatorului/managerului, pe regiuni de dezvoltare",INT111V
"Distributia intreprinderilor active nou create, dupa categoria socio-profesionala anterioara a fondatorului/managerului, pe regiuni de dezvoltare",INT111W
"Ponderea intreprinderilor active nou create care fac investitii in primul an de activitate, pe regiuni de dezvoltare",INT111X
"Situatia intreprinderilor nou create la un an de la infiintare, pe regiuni de dezvoltare",INT111Y
"Intreprinderi nou create care au supravietuit, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2 si pe clase de marime",INT112A
"Intreprinderi desfiintate, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2 si pe forme juridice",INT113A
"Intreprinderi desfiintate, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2 si pe clase de marime",INT113B
Investitii nete pe forme de proprietate,INV101A
Investitii nete pe elemente de structura,INV101B
Investitii nete pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1,INV101C
"Investitii nete in industrie, pe activitati la nivel de diviziune CAEN Rev.1",INV101D
"Investitii nete pe activitati ale economiei nationale la nivel de sectiune si diviziune, CAEN REV.2",INV101E
Investitii nete realizate pe surse de finantare,INV101F
Indicii investitiilor nete pe activitati ale economiei nationale CAEN Rev.1 (1990 = 100 pentru perioada 1997-2002; 2000=100 incepand cu anul 2003),INV102A
"Indicii investitiilor nete in industrie, pe activitati CAEN Rev.1 (1990 = 100 pentru perioada 1997-2002; 2000=100 incepand cu anul 2003)",INV102B
"Indicii investitiilor nete pe elemente de structura, fata de perioada corespunzatoare din anul precedent",INV102C
"Indicii investitiilor nete pe activitati ale economiei nationale la nivel de sectiune si diviziune, CAEN Rev.2 - an baza = an precedent",INV102D
Rata medie lunara a inflatiei pe categorii de marfuri si servicii cumparate,IPC101A
Indicii preturilor de consum - evolutia lunara fata de luna anterioara,IPC102A
Indicii preturilor de consum - evolutia lunara fata de decembrie anul precedent,IPC102B
Indicii preturilor de consum pe principalele marfuri si servicii - evolutia lunara fata de luna anterioara,IPC102C
Indicii preturilor de consum pe principalele marfuri si servicii - evolutia lunara fata de decembrie anul precedent,IPC102D
Indicii preturilor de consum pe principalele marfuri si servicii - evolutia lunara fata de luna corespunzatoare din anul precedent,IPC102E
Judecatori,JUS101A
Cauze intrate la instantele judecatoresti pe categorii de cauze,JUS102A
Cauze penale si civile ce revin spre solutionare unui judecator,JUS103A
Persoane condamnate definitiv  de instantele judecatoresti pe sexe,JUS104A
Persoane minore condamnate definitiv de instantele judecatoresti pe tipuri de pedepse,JUS104B
"Persoane condamnate definitiv de instantele judecatoresti pe macroregiuni, regiuni de dezvoltare si judete",JUS104C
Persoane condamnate definitiv  pe categorii de infractiuni,JUS104D
Persoane majore condamnate definitiv  de instantele judecatoresti pe tipuri de pedepse,JUS104E
Persoane recidiviste condamnate definitiv  de instantele judecatoresti,JUS104F
Persoane condamnate definitiv pe principalele infractiuni si medii de rezidenta,JUS104G
Persoane condamnate definitiv aflate in penitenciare si centre educative dupa durata pedepselor(la sfarsitul anului),JUS105A
Persoane condamnate/sanctionate definiv aflate in penitenciare (la sfarsitul anului),JUS105B
"Persoane condamnate/sanctionate definitiv aflate in penitenciare (inclusiv centre de detentie si centre educative), pe judete si localitati (la sfarsitul anului)",JUS105C
Persoane condamnate/sanctionate definitiv aflate in centre educative (la sfarsitul anului),JUS106A
"Rata criminalitatii pe macroregiuni, regiuni de dezvoltare si judete",JUS107A
"Rata infractionalitatii pe macroregiuni, regiuni de dezvoltare si judete",JUS107B
Litigii civile intrate la instantele judecatoresti pe categorii de litigii civile,JUS108A
"Infractiuni solutionate de politie si infractiuni declinate Parchetului, pe macroregiuni, regiuni de dezvoltare si judete",JUS109A
"Infractiuni solutionate de politie si infractiuni declinate Parchetului pe categorii de infractiuni

",JUS109B
"Persoane cercetate de politie pe medii de rezidenta si categorii de persoane
",JUS109C
"Modificarea procentuala fata de trimestrul precedent a indicelui trimestrial al costului orar al fortei de munca, pe activitati ale economiei nationale CAEN Rev.2, serie bruta",LCI101A
"Modificarea procentuala fata de trimestrul precedent a indicelui trimestrial al costului orar al fortei de munca, pe activitati ale economiei nationale CAEN Rev.2, serie ajustata dupa efectul zilelor lucratoare",LCI101B
"Modificarea procentuala fata de trimestrul precedent a indicelui trimestrial al costului orar al fortei de munca, pe activitati ale economiei nationale CAEN Rev.2, serie ajustata dupa efectul zilelor lucratoare si sezonier",LCI101C
"Modificarea procentuala fata de acelasi trimestru al anului precedent a indicelui trimestrial al costului orar al fortei de munca, pe activitati ale economiei nationale CAEN Rev.2, serie bruta",LCI101D
"Modificarea procentuala fata de acelasi trimestru al anului precedent a indicelui trimestrial al costului orar al fortei de munca, pe activitati ale economiei nationale CAEN Rev.2, serie ajustata dupa efectul zilelor lucratoare",LCI101E
"Modificarea procentuala fata de acelasi trimestru al anului precedent a indicelui trimestrial al costului orar al fortei de munca, pe activitati ale economiei nationale CAEN Rev.2, serie ajustata dupa efectul zilelor lucratoare si sezonier",LCI101F
"Indicele trimestrial al costului orar al fortei de munca, pe activitati ale economiei nationale CAEN Rev.2, serie bruta (neajustata)",LCI101G
"Indicele trimestrial al costului orar al fortei de munca, pe activitati ale economiei nationale CAEN Rev.2, serie ajustata dupa efectul zilelor lucratoare",LCI101H
"Indicele trimestrial al costului orar al fortei de munca, pe activitati ale economiei nationale CAEN Rev.2, serie ajustata dupa efectul zilelor lucratoare si sezonier",LCI101I
"Rata  locurilor de munca vacante pe macroregiuni, regiuni de dezvoltare si activitati ale economiei nationale (sectiuni) CAEN Rev.1",LMV101A
"Rata  locurilor de munca vacante pe macroregiuni, regiuni de dezvoltare si activitati ale economiei nationale (sectiuni) CAEN Rev.2",LMV101B
"Rata  locurilor de munca vacante pe macroregiuni, regiuni de dezvoltare si grupe majore de ocupatii (ISCO-88)",LMV101C
"Rata  locurilor de munca vacante pe macroregiuni, regiuni de dezvoltare si grupe majore de ocupatii (ISCO-08)",LMV101D
"Locuri de munca vacante pe macroregiuni, regiuni de dezvoltare si activitati ale economiei nationale (sectiuni) CAEN Rev.1",LMV102A
"Locuri de munca vacante pe macroregiuni, regiuni de dezvoltare si activitati ale economiei nationale (sectiuni) CAEN Rev.2",LMV102B
"Locuri de munca vacante pe macroregiuni, regiuni de dezvoltare si grupe majore de ocupatii (ISCO-88)",LMV102C
"Locuri de munca vacante pe macroregiuni, regiuni de dezvoltare si grupe majore de ocupatii (ISCO-08)",LMV102D
"Locuinte existente la sfarsitul anului pe forme de proprietate, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",LOC101A
"Locuinte existente la sfarsitul anului pe forme de proprietate, judete si localitati",LOC101B
"Camere de locuit existente la sfarsitul anului pe forme de proprietate, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",LOC102A
"Suprafata locuibila existenta la sfarsitul anului pe forme de proprietate, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",LOC103A
"Suprafata locuibila existenta la sfarsitul anului pe forme de proprietate, judete si localitati",LOC103B
"Locuinte terminate in cursul anului pe surse de finantare, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",LOC104A
"Locuinte terminate in cursul anului pe surse de finantare, judete si localitati",LOC104B
"Locuinte terminate in cursul anului dupa numarul camerelor de locuit pe o locuinta, pe surse de finantare, macroregiuni, regiuni de dezvoltare si judete",LOC104C
"Locuinte terminate in cursul anului  dupa dotarea cu instalatii a acestora, pe surse de finantare si medii de rezidenta",LOC104D
"Suprafata construita a locuintelor terminate pe surse de finantare, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",LOC105A
"Suprafata utila a locuintelor terminate pe surse de finantare, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",LOC106A
"Suprafata locuibila a locuintelor terminate pe surse de finantare, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",LOC107A
"Autorizatii de construire eliberate pentru cladiri pe tipuri de constructii, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",LOC108A
"Autorizatii de construire eliberate pentru cladiri pe tipuri de constructii, judete si localitati",LOC108B
Ariile protejate,PMI101A
"Resurse de apa asigurate potrivit gradului de amenajare, pe surse de apa si bazine hidrografice",PMI102A
Calitatea apelor de suprafata pe bazine hidrografice si clase de calitate,PMI103A
"Cheltuieli pentru protectia mediului, pe activitati CAEN Rev.2 si categorii de cheltuieli",PMI105A
"Cheltuieli pentru protectia mediului, pe activitati CAEN Rev.2 si domenii de mediu",PMI105B
"Cheltuieli pentru protectia mediului pe sectoare de activitati, categorii de cheltuieli si categorii de producatori",PMI106A
"Cheltuieli pentru protectia mediului, pe activitati CAEN Rev.1 si categorii de cheltuieli",PMI106B
"Cheltuieli pentru protectia mediului, pe activitati CAEN Rev.1 si domenii de mediu",PMI106C
"Populatia conectata la sistemele de canalizare si epurare a apelor uzate, macroregiuni, regiuni de dezvoltare si judete",PMI109A
"Populatia deservita de sistemul public de alimentare cu apa, macroregiuni, regiuni de dezvoltare si judete",PMI109B
Ape uzate generate pe sectoare de activitate,PMI110A
Ape uzate colectate si evacuate pe tipuri de sisteme de canalizare,PMI110B
Numarul de trepte al statiilor de epurare pe tipuri de statii,PMI111A
Capacitatea statiilor de epurare exprimata in CBO5,PMI111B
Debitul zilnic al statiilor de epurare pe tipuri de statii,PMI111C
Namolul provenit de la statiile de epurare,PMI111D
Captarea apei pe surse de captare si activitati economice,PMI112A
"Contul fluxurilor materiale economie-mediu
",PMI113A
Contul emisiilor de poluanti in aer,PMI114A
"Contul emisiilor de poluanti in aer, pe activitati CAEN Rev.1",PMI114B
"Contul emisiilor de poluanti in aer, pe activitati CAEN Rev.2",PMI114C
Sectorul de bunuri si servicii de mediu pe activitati CAEN Rev.2 si domenii de mediu,PMI115B
Contul taxelor de mediu pe categorii de taxe si activitati CAEN Rev.2,PMI116A
"Contul de cheltuieli pentru protectia mediului pe caracteristici economice, categorii de producatori si domenii de mediu",PMI117A
Numarul mediu al pensionarilor dupa sistemul de pensionare,PNS101A
"Numarul mediu al pensionarilor de asigurari sociale de stat dupa nivelul pensiei, la sfarsitul anului",PNS101B
"Numarul mediu trimestrial / anual al pensionarilor pe tipuri de asigurari sociale, macroregiuni, regiuni de dezvoltare si judete",PNS101D
Numarul mediu trimestrial / anual al pensionarilor pe sisteme de pensionare si tipuri de asigurari sociale,PNS101F
Pensia medie lunara dupa sistemul de pensionare,PNS102A
"Pensia medie lunara de asigurari sociale de stat si agricultori, pe macroregiuni, regiuni de dezvoltare si judete, pe trimestre si ani",PNS102D
"Pensia medie lunara a pensionarilor pe sisteme de pensionare si tipuri de asigurari sociale, trimestre si ani",PNS102F
Bilete pentru tratament balnear si odihna acordate prin asigurarile sociale,PNS103A
"Bilete pentru tratament balnear si odihna acordate prin asigurarile sociale de stat, pe statiuni balneoclimaterice",PNS103B
"Indicii pensiei medii reale a pensionarilor de asigurari sociale de stat, inclusiv pensiile M.Ap., M.A.I., S.R.I",PNS106A
"Populatia rezidenta la 1 ianuarie pe grupe de varsta si varste, sexe si medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP105A
"Populatia rezidenta la 1 iulie pe grupe de varsta si varste, sexe, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP106A
"POPULATIA DUPA DOMICILIU la 1 ianuarie pe grupe de varsta si varste, sexe, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP107A
"POPULATIA DUPA DOMICILIU in varsta de munca la 1 ianuarie pe medii de rezidenta si sexe, macroregiuni, regiuni de dezvoltare si judete",POP107B
"POPULATIA DUPA DOMICILIU la 1 ianuarie pe grupe de varsta si varste, sexe, judete si localitati",POP107D
"POPULATIA DUPA DOMICILIU la 1 iulie pe grupe de varsta si varste, sexe, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP108B
POPULATIA DUPA DOMICILIU la 1 iulie pentru grupa de varsta oficiala corespunzatoare invatamantului prescolar pe judete si localitati,POP108C
"POPULATIA DUPA DOMICILIU la 1 iulie pe grupe de varsta si varste, sexe, judete si localitati",POP108D
"Varsta medie a populatiei rezidente la 1 iulie pe sexe, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP109A
"Varsta medie a populatiei dupa domiciliu la 1 iulie pe sexe, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP110A
"Populatia la 1 ianuarie pe grupe de varste, varste si sexe",POP111A
"Populatia la 1 iulie pe grupe de varste, varste si sexe",POP112A
"Nascuti vii pe sexe, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP201A
"Nascuti vii pe grupe de varsta ale tatalui si grupe de varsta ale mamei, macroregiuni, regiuni de dezvoltare si judete",POP201B
"Nascuti vii dupa rangul nascutului viu , pe grupe de varsta ale mamei",POP201C
Nascuti vii pe judete si localitati,POP201D
Nascuti vii dupa locul nasterii si asistenta acordata la nastere,POP201E
"Varsta medie a mamei la nastere, pe medii de rezidenta",POP201F
"Intreruperi de sarcina, pe grupe de varsta ale mamei",POP201G
"Nascuti vii cu resedinta obisnuita in Romania pe sexe, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP201H
"Nascuti vii cu resedinta obisnuita in Romania pe grupe de varsta ale tatalui si grupe de varsta ale mamei, macroregiuni, regiuni de dezvoltare si judete",POP201I
"Nascuti vii cu resedinta obisnuita in Romania dupa rangul nascutului viu, pe grupe de varsta ale mamei",POP201J
Nascuti vii cu resedinta obisnuita in Romania pe judete si localitati,POP201K
Nascuti vii cu resedinta obisnuita in Romania dupa locul nasterii si asistenta acordata la nastere,POP201L
"Varsta medie a mamei la nastere, pe medii de rezidenta pentru nascutii-vii cu resedinta obisnuita in Romania",POP201M
"Rata de natalitate pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP202A
"Rata de natalitate pentru nascutii-vii cu resedinta obisnuita in Romania pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP202B
"Rata de fertilitate pe medii de rezidenta, grupe de varsta ale mamei, macroregiuni, regiuni de dezvoltare si judete",POP203A
"Rata de fertilitate pentru nascutii-vii cu resedinta obisnuita in Romania pe medii de rezidenta, grupe de varsta ale mamei, macroregiuni, regiuni de dezvoltare si judete",POP203B
Nascuti morti pe grupe de varsta ale mamei,POP204A
"Nascuti morti pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP204B
Nascuti morti pe judete si localitati,POP204C
Nascuti morti cu resedinta obisnuita in Romania pe grupe de varsta ale mamei,POP204D
"Nascuti morti cu resedinta obisnuita in Romania pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP204E
Nascuti morti cu resedinta obisnuita in Romania pe judete si localitati,POP204F
"Rata mortinatalitatii pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP205A
"Rata mortinatalitatii pentru nascutii morti cu resedita obisnuita in Romania pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP205B
"Decedati pe sexe, medii de rezidenta si grupe de varsta",POP206A
"Decedati pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP206B
"Decedati pe cauze de deces, macroregiuni, regiuni de dezvoltare si judete",POP206C
Decedati pe judete si localitati,POP206D
"Decedati pe sexe, grupe de varsta, macroregiuni, regiuni de dezvoltare si judete",POP206E
Decedati pe sexe si cauze de deces,POP206F
"Decedati cu resedinta obisnuita in Romania pe sexe, medii de rezidenta si grupe de varsta",POP206G
"Decedati cu resedinta obisnuita in Romania pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP206H
"Decedati cu resedinta obisnuita in Romania pe cauze de deces, macroregiuni, regiuni de dezvoltare si judete",POP206I
Decedati cu resedinta obisnuita in Romania pe judete si localitati,POP206J
"Decedati cu resedinta obisnuita in Romania pe sexe, grupe de varsta, macroregiuni, regiuni de dezvoltare si judete",POP206K
Decedati cu resedinta obisnuita in Romania pe sexe si cauze de deces,POP206L
"Rata mortalitatii pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP207A
Rata mortalitatii pe grupe de varsta si sexe,POP207B
"Rata mortalitatii pentru decedatii cu resedinta obisnuita in Romania pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP207C
Rata mortalitatii pentru decedatii cu resedinta obisnuita in Romania pe grupe de varsta si sexe,POP207D
"Decedati sub 1 an, pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP208A
Decedati sub 1 an pe grupe de varsta,POP208B
Decedati sub 1 an pe  judete si localitati,POP208C
"Decese sub 1 an, pe cauze de deces",POP208D
"Decedati sub 1 an cu resedinta obisnuita in Romania, pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP208E
Decedati sub 1 an cu resedinta obisnuita in Romania pe grupe de varsta,POP208F
Decedati sub 1 an cu resedinta obisnuita in Romania pe judete si localitati,POP208G
"Decese sub 1 an cu resedinta obisnuita in Romania, pe cauze de deces",POP208H
"Rata mortalitatii infantile pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP209A
"Rata mortalitatii infantile pentru decedatii cu resedinta obisnuita in Romania, pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP209B
"Casatorii pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP210A
Casatorii dupa grupa de varsta a sotilor,POP210B
Casatorii dupa starea civila anterioara a sotilor,POP210C
Casatorii pe judete si localitati,POP210D
"Rata de nuptialitate pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP211A
"Divorturi pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP212A
Divorturi pe judete si localitati,POP212B
Divorturi dupa grupa de varsta a sotilor,POP212C
Divorturi dupa durata casatoriei,POP212D
"Divorturi dupa numarul copiilor minori ramasi dupa desfacerea casatoriei, pe macroregiuni, regiuni de dezvoltare si judete",POP212E
"Rata de divortialitate pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP213A
"Sporul natural al populatiei pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP214A
"Sporul natural al populatiei rezidente pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP214B
"Rata sporului natural al populatiei pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP215A
"Rata sporului natural al populatiei rezidente pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP215B
"Varsta medie a sotilor la casatorie pe medii de rezidenta, sexe, macroregiuni, regiuni de dezvoltare si judete",POP216A
"Varsta medie la prima casatorie pe medii de rezidenta, sexe, macroregiuni, regiuni de dezvoltare si judete",POP216B
"Durata medie a vietii pe medii de rezidenta, sexe, pe macroregiuni, regiuni de dezvoltare si judete",POP217A
Stabiliri de domiciliu pe medii de rezidenta si grupe de varsta,POP301A
"Stabiliri de domiciliu pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP301B
Stabiliri de domiciliu pe medii de rezidenta si sexe,POP301C
Plecari cu domiciliul pe medii de rezidenta si grupe de varsta,POP302A
"Plecari cu domiciliul pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP302B
Plecari cu domiciliu pe medii de rezidenta si sexe,POP302C
Soldul schimbarilor de domiciliu pe medii de rezidenta si grupe de varsta,POP303A
"Soldul schimbarilor de domiciliu pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP303B
"Stabiliri de resedinta pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP304A
Stabiliri de resedinta pe judete si localitati,POP304B
"Plecari cu resedinta pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP305A
Plecari cu resedinta pe judete si localitati,POP305B
"Soldul schimbarilor de resedinta pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP306A
Stabiliri cu domiciliul (inclusiv migratia internationala) pe judete si localitati,POP307A
"Stabiliri cu domiciliul (inclusiv migratia internationala) pe macroregiuni, regiuni de dezvoltare si judete",POP307B
Plecari cu domiciliul (inclusiv migratia internationala) pe judete si localitati,POP308A
"Plecari cu domiciliul (inclusiv migratia internationala) pe macroregiuni, regiuni de dezvoltare si judete",POP308B
"Emigranti definitivi pe sexe, macroregiuni, regiuni de dezvoltare si judete de plecare",POP309A
"Emigranti definitivi pe grupe de varsta, macroregiuni, regiuni de dezvoltare si judete de plecare",POP309B
Emigranti definitivi pe nationalitati,POP309C
Emigranti definitivi dupa tara de destinatie,POP309D
Emigranti definitivi pe judete si localitati de plecare,POP309E
"Imigranti definitivi pe sexe, macroregiuni, regiuni de dezvoltare si judete de sosire",POP310A
"Imigranti definitivi pe grupe de varsta, macroregiuni, regiuni de dezvoltare si judete de sosire",POP310B
Imigranti definitivi pe nationalitati,POP310C
Imigranti definitivi dupa tara de provenienta,POP310D
Imigranti definitivi pe judete si localitati de destinatie,POP310E
"Structura fluxurilor migratiei interne urbane si rurale, determinate de schimbarea domiciliului",POP311A
"Emigranti temporar pe grupe de varsta si varste, sexe",POP320A
"Emigranti temporar pe grupe de varsta, sexe, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP320C
"Imigranti temporar pe grupe de varsta si varste, sexe",POP321A
"Imigranti temporar pe grupe de varsta, sexe, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",POP321C
"Preturile medii lunare si anuale ale produselor agricole vandute in pietele agroalimentare, pe judete si localitati",PPA101A
"Preturile medii de achizitie ale principalelor produse agricole pe total tara si pe judete, pe ani si in perioade cumulate (1.01-31.03; 1.01-30.06; 1.01-30.09; 1.01-31.12)",PPA102B
"Preturile medii de achizitie ale principalelor produse agricole, pe total tara si pe regiuni de dezvoltare, pe ani, luni si trimestre",PPA102C
"Preturile medii ale principalelor produse agricole pe total tara, pe ani, luni si trimestre",PPA103A
