Accidente colective de munca pe activitati economice CAEN Rev.1,ACC101A
"AMIGO - Populatia ocupata cu program de lucru partial, dupa durata efectiva a saptamanii de lucru, statut profesional si sexe",AMG115E
"AMIGO - Populatia ocupata cu program de lucru partial, dupa durata efectiva a saptamanii de lucru, statut profesional si medii de rezidenta",AMG115F
AMIGO - Salariati cu regim de lucru temporar dupa durata obisnuita a saptamanii de lucru si sexe,AMG115K
AMIGO - Salariati cu regim de lucru temporar dupa durata obisnuita a saptamanii de lucru si medii de rezidenta,AMG115L
AMIGO - Salariati  cu regim de lucru permanent dupa durata efectiva a saptamanii de lucru si sexe,AMG115X
AMIGO - Salariati  cu regim de lucru permanent dupa durata efectiva a saptamanii de lucru si medii de rezidenta,AMG115Z
"AMIGO - Populatia ocupata cu program de lucru complet, dupa durata obisnuita a saptamanii de lucru, statut profesional si sexe",AMG116A
"AMIGO - Populatia ocupata cu program de lucru complet, dupa durata obisnuita a saptamanii de lucru, statut profesional si medii de rezidenta",AMG116B
"AMIGO - Populatia ocupata cu program de lucru complet, dupa durata efectiva a saptamanii de lucru, statut profesional si sexe",AMG116E
"AMIGO - Populatia ocupata cu program de lucru complet, dupa durata efectiva a saptamanii de lucru, statut profesional si medii de rezidenta",AMG116F
"AMIGO - Persoane care au o activitate secundara dupa nivel de educatie, pe sexe",AMG119A
"AMIGO - Persoane care au o activitate secundara dupa nivel de educatie, pe medii de rezidenta",AMG119B
AMIGO - Persoane care au o activitate secundara pe grupe de varsta si sexe,AMG119C
AMIGO - Persoane care au o activitate secundara pe grupe de varsta si medii de rezidenta,AMG119D
AMIGO - Someri BIM pe grupe de varsta si sexe,AMG130A
AMIGO - Someri BIM pe grupe de varsta si medii de rezidenta,AMG130B
"AMIGO - Someri BIM dupa nivelul de educatie, pe grupe de varsta si sexe",AMG130G
"AMIGO - Someri BIM dupa nivelul de educatie, pe grupe de varsta si medii de rezidenta",AMG130H
"AMIGO - Someri BIM dupa durata somajului, pe grupe de varsta  si sexe",AMG130K
"AMIGO - Someri BIM dupa durata somajului , pe grupe de varsta si medii de rezidenta",AMG130L
"AMIGO - Someri BIM - date cu frecventa lunara, serie bruta, pe grupe de varsta si sexe",AMG130M
"AMIGO - Someri BIM - date cu frecventa lunara, serie ajustata sezonier, pe grupe de varsta si sexe",AMG130N
"AMIGO - Someri BIM - date cu frecventa lunara, trend, pe grupe de varsta si sexe",AMG130O
AMIGO-Someri BIM pe grupe de varsta si sexe (date comparabile),AMG131A
AMIGO-Someri BIM pe grupe de varsta si medii de rezidenta (date comparabile),AMG131B
AMIGO - Someri BIM care nu au lucrat niciodata pe grupe de varsta si sexe,AMG138A
AMIGO - Someri BIM care nu au lucrat niciodata pe grupe de varsta  si medii de rezidenta,AMG138B
AMIGO - Someri BIM care nu au lucrat niciodata dupa nivelul de educatie si sexe,AMG138C
AMIGO - Someri BIM care nu au lucrat niciodata dupa nivelul de educatie si medii de rezidenta,AMG138D
AMIGO - Someri BIM care au lucrat inainte pe grupe de varsta  si sexe,AMG139A
AMIGO - Someri BIM care au lucrat inainte pe grupe de varsta  si medii de rezidenta,AMG139B
AMIGO - Someri BIM care au lucrat inainte dupa nivel de educatie si sexe,AMG139C
AMIGO - Someri BIM care au lucrat inainte dupa nivel de educatie si medii de rezidenta,AMG139D
AMIGO - Persoane inactive  pe grupe de varsta si sexe,AMG145A
AMIGO - Persoane inactive  pe grupe de varsta si medii de rezidenta,AMG145B
"AMIGO - Populatia inactiva de 15 ani si peste dupa nivelul de educatie, pe grupe de varsta si sexe",AMG146E
